tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,label,computed,refLabel,defaultValue
Subpopulations,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,age min,non_negative_int,,,,,,,,healthdcatap:minimumTypicalAge,Minimum age of participants within this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,age max,non_negative_int,,,,,,,,healthdcatap:maximumTypicalAge,Maximum age of participants within this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Disease groups within this subpopulation, based on ICD-10 and ORPHA code classifications","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subpopulation, based on ICD-10 classification","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:spatial,Countries where data from this subpopulation largely originate from,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:coverage,Geographical regions where data from this subpopulation largely originate from,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,inclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion Exclusion Criteria,,,,,Inclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,other inclusion criteria,text,,,,,,,,,Other inclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,exclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion Exclusion Criteria,,,,,Exclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,other exclusion criteria,text,,,,,,,,,Other exclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,issued,datetime,,,,,,,,dcterms:issued,When the data for this subpopulation was first published,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,modified,datetime,,,,,,,,dcterms:modified, When the data for this subpopulation was last modified,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Subpopulations,,theme,ontology_array,,,CatalogueOntologies,Themes,,,,dcat:theme,"A main category of the subpopulation. A subpopulation can have multiple themes, for health data theme must at least take the value 'Health', which is set as a default","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= [{name: 'Health'}]
